"","school","sex","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","df2$w","age","absences","G1","G2","G3"
"100",0,0,1,0,1,"1","1","1","2",1,1,1,0,1,1,1,0,4,NA,1,NA,0,5,3,NA,1,1,3,45,15.3333333333333,0.666666666666667,7.35042735042735,10,3.28205128205128
"101",0,1,1,0,1,"2","2",NA,"2",1,1,1,1,1,1,1,NA,4,4,1,1,0,4,NA,5,5,5,4,46,15.6666666666667,17.6025641025641,6.52564102564103,5.41025641025641,3.28205128205128
"102",0,1,1,0,1,"2","2","2","1",0,1,0,1,1,1,1,NA,4,4,1,NA,0,4,NA,3,1,1,NA,32,16,0,15.7820512820513,15.7692307692308,16.0769230769231
"103",0,1,1,0,1,"2",NA,"1","2",0,1,0,1,0,1,1,0,4,4,1,1,0,5,3,NA,1,1,5,68,15,3,10.6666666666667,13.6666666666667,13.6666666666667
"104",0,0,1,0,1,"2","1","1","2",1,1,1,0,1,1,1,0,3,NA,NA,2,0,4,3,5,1,NA,2,46,15.6666666666667,17.6025641025641,6.52564102564103,5.41025641025641,3.28205128205128
"105",0,1,1,0,0,NA,"1","1","2",NA,1,1,1,1,1,1,0,3,4,1,2,0,5,4,NA,1,1,1,47,15,0,15.7820512820513,15.7692307692308,16.0769230769231
"106",0,0,1,0,NA,"1","1","2","1",NA,NA,NA,0,1,1,NA,0,3,3,1,4,0,4,3,3,1,1,NA,37,15,7.33333333333333,11.3333333333333,12,11.6666666666667
"107",0,0,1,0,1,"1","1","1","2",1,1,1,0,1,1,1,0,NA,2,1,4,0,5,NA,2,1,NA,3,35,15.3333333333333,7.33333333333333,6.52564102564103,5.41025641025641,3.28205128205128
"108",0,1,1,0,1,"2",NA,"1","1",0,1,0,1,1,1,1,0,NA,NA,1,NA,0,5,NA,3,1,1,5,47,16,2,15.7820512820513,15.7692307692308,16.0769230769231
"109",0,1,0,0,1,"1","1","1","1",0,1,NA,1,1,1,1,NA,4,NA,4,NA,0,NA,NA,5,NA,5,NA,46,15,6.33333333333333,10.3333333333333,13,13.6666666666667
"110",0,0,1,NA,1,"1","1","2","2",0,1,1,1,1,1,1,1,4,NA,1,3,0,NA,4,NA,1,NA,4,42,15.3333333333333,4.66666666666667,13.3333333333333,14.8461538461538,15.3846153846154
"111",0,1,1,1,NA,"2","2","1","2",0,NA,0,1,1,1,1,0,4,NA,1,1,0,5,NA,3,1,1,4,56,15,6,15.7820512820513,15.7692307692308,16.0769230769231
"112",0,0,0,0,1,"2","1",NA,NA,1,1,NA,1,1,1,1,0,3,NA,1,3,NA,4,1,2,1,1,NA,49,16,0,7.50854700854701,9.33333333333333,9.66666666666667
"113",0,0,1,0,1,"1","1","1","2",1,0,0,1,1,1,1,0,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,44,16,5.33333333333333,10,12.3333333333333,12.3333333333333
"114",0,1,1,1,1,NA,"1","1","2",0,0,0,0,1,1,1,0,4,2,1,1,0,3,NA,NA,1,1,3,60,15.6666666666667,15.0683760683761,15.7820512820513,15.7692307692308,16.0769230769231
"115",0,NA,0,0,1,"1","2","2","2",0,0,0,1,1,1,1,1,2,1,1,2,NA,5,NA,2,1,1,NA,53,15.3333333333333,8.33333333333333,9.66666666666667,9.33333333333333,10
"116",0,1,1,0,1,"2","2","1","1",0,1,0,1,1,1,1,0,4,4,1,2,0,NA,NA,NA,1,NA,5,42,16,2,15.7820512820513,15.7692307692308,16.0769230769231
"117",0,1,1,0,1,NA,"2","2","1",0,1,0,1,1,1,NA,0,4,4,2,2,0,4,NA,3,1,1,NA,48,15,3,10.6666666666667,13.6666666666667,13.6666666666667
"118",0,1,1,0,1,"1",NA,"1","1",0,0,0,NA,1,1,1,0,3,3,2,1,0,5,NA,2,1,1,NA,46,15.3333333333333,0,13.6666666666667,13,13.3333333333333
"119",0,1,0,0,1,"1","1","1","1",0,1,0,1,1,1,1,0,NA,3,NA,2,NA,5,2,NA,1,NA,5,66,17.3333333333333,17.6025641025641,9.33333333333333,7.47008547008547,4.85470085470085
"120",0,1,1,0,1,"1","1","2","1",0,0,NA,0,1,1,1,0,3,4,1,1,0,NA,NA,3,1,NA,4,43,15,5.33333333333333,14.5940170940171,13.3333333333333,14.6923076923077
"121",0,0,1,0,1,"1","2","1","2",0,0,0,0,0,1,1,0,1,2,1,2,NA,3,NA,3,1,NA,NA,47,15,0.666666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"122",0,1,1,0,1,"2","2","1","1",0,1,NA,1,1,1,1,0,NA,NA,1,NA,0,5,NA,4,1,2,5,43,15,5.33333333333333,14.5940170940171,13.3333333333333,14.6923076923077
"123",0,NA,1,1,1,"1","1","1",NA,0,NA,1,1,1,1,1,1,2,4,NA,2,0,4,2,NA,1,2,5,48,16,1.33333333333333,13,12.6666666666667,13
"124",0,NA,1,0,1,"1","1","1","2",0,1,0,NA,1,1,1,0,4,4,1,1,0,3,4,4,1,NA,5,56,16,17.6025641025641,12.6666666666667,12,12.3333333333333
"125",0,0,1,0,1,"1","1",NA,"2",0,0,1,0,1,1,1,1,2,2,1,2,0,5,NA,4,1,NA,5,56,15.3333333333333,0,8.17521367521367,5.41025641025641,10.3333333333333
"126",0,1,1,0,1,"2","2","1","1",1,NA,0,0,1,1,1,0,3,NA,1,1,0,5,NA,5,NA,2,5,43,15.3333333333333,0,13.6666666666667,13,13.3333333333333
"127",0,0,1,1,0,"1","1","1","2",1,NA,NA,1,1,1,1,1,3,NA,1,2,0,5,3,NA,1,1,1,50,15,0,6.52564102564103,10,11.6666666666667
"128",0,0,1,0,1,"1","1","1","2",0,1,NA,0,0,NA,0,0,NA,1,1,2,NA,NA,4,2,1,NA,NA,51,18.474358974359,1.33333333333333,6.52564102564103,6.27350427350427,9
"129",0,1,0,0,1,NA,"1","2","2",0,1,0,1,1,1,1,0,2,2,1,1,NA,NA,3,3,1,NA,4,43,17.3333333333333,0,6.52564102564103,5.41025641025641,3.28205128205128
"130",0,1,NA,0,1,"2","2","1","2",0,0,1,1,1,1,1,0,4,4,NA,1,0,3,NA,NA,NA,NA,4,46,16,7,15.7820512820513,15.7692307692308,16.0769230769231
"131",0,0,0,0,1,"2","2","1",NA,0,1,0,NA,1,1,1,1,3,4,2,3,2,4,2,NA,2,2,NA,59,15,1.66666666666667,11,6.94017094017094,5.18803418803419
"132",0,0,1,0,1,"1","1","1","2",0,1,0,1,0,1,1,1,NA,1,NA,1,0,4,3,NA,NA,NA,4,55,15,0,7.01709401709402,5.41025641025641,3.28205128205128
"133",0,0,1,1,1,"1","1","1","1",0,NA,0,0,1,1,1,NA,2,2,1,NA,0,NA,NA,4,1,3,NA,42,16.6666666666667,17.6025641025641,12,13.3333333333333,12
"134",0,0,1,0,NA,"2","1","1",NA,0,0,0,0,1,1,1,0,3,4,1,NA,0,NA,NA,NA,1,4,NA,56,16.6666666666667,17.6025641025641,12,10.3333333333333,11
"135",0,1,0,NA,1,"1","2","1","2",0,1,0,0,1,1,0,1,3,NA,NA,2,0,5,3,3,1,NA,5,55,15.3333333333333,0,9.33333333333333,5.41025641025641,3.28205128205128
"136",0,0,1,0,1,"2","1","1","2",0,1,NA,1,1,1,1,1,4,4,1,3,0,4,3,NA,1,1,5,47,15.3333333333333,0,9.33333333333333,5.41025641025641,3.28205128205128
"137",0,1,0,0,1,"1",NA,"1","2",0,NA,0,0,1,1,0,NA,3,4,3,2,0,5,NA,NA,NA,4,5,48,16.6666666666667,1.33333333333333,8.66666666666667,6.27350427350427,3.28205128205128
"138",0,0,1,0,NA,"1","1","1","2",0,1,0,1,0,1,1,1,3,NA,2,1,NA,4,3,NA,1,1,NA,57,16,0,6.52564102564103,5.41025641025641,3.28205128205128
"139",0,1,1,1,1,"2","1","1","2",0,0,0,NA,1,1,0,1,NA,1,1,2,1,4,4,4,1,NA,5,47,16,0.666666666666667,12,12,11.3333333333333
"140",0,NA,1,0,1,"2","2","1","2",0,0,0,1,1,1,1,0,4,4,2,1,0,NA,3,2,1,NA,5,45,15,0,15.7820512820513,15.7692307692308,16.0769230769231
